Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response,Category
study finds hospital communication lacking,10 August 2011,"10 August 2011 - study finds hospital communication lacking
A new study conducted by the University of Washington School of Nursing found that the way information is shared between nurses and physicians is a key part of patient safety and a contributing factor in medication errors. It is reported that nurses are the first to recognize and report patient conditions that may lead to medication errors, but they often feel like they are working in a vacuum.
The report was based on a survey of over 300 nurses and physician assistants at a large regional medical center in Washington State, the University of Washington School of Nursing (UWSON) and the Institute for Healthcare Improvement (IHI) have announced. The survey examined how the nurses and physicians communicate about care for critically ill patients. This was the first time the survey had been conducted at a single hospital. It found that nurses and physician assistants at the hospital had little or no communication about the critically ill patients they cared for. The findings are based on the analysis of over 1,000 observations of nurses and physicians at the hospital.
""","
A new study conducted by the University of Washington School of Nursing found that the way information is shared between nurses and physicians is a key part of patient safety and a contributing factor in medication errors. It is reported that nurses are the first to recognize and report patient conditions that may lead to medication errors, but they often feel like they are working in a vacuum.
The report was based on a survey of over 300 nurses and physician assistants at a large regional medical center in Washington State, the University of Washington School of Nursing (UWSON) and the Institute for Healthcare Improvement (IHI) have announced. The survey examined how the nurses and physicians communicate about care for critically ill patients. This was the first time the survey had been conducted at a single hospital. It found that nurses and physician assistants at the hospital had little or no communication about the critically ill patients they cared for. The findings are based on the analysis of over 1,000 observations of nurses and physicians at the hospital.
""",Health
motorcyclist hospitalised after crash,22 January 2011,"22 January 2011 - motorcyclist hospitalised after crash at Dromkeen, South Australia
Motorcyclist hospitalised after crash at Dromkeen
A motorcyclist is in a stable condition in hospital after a crash at Dromkeen in South Australia’s Yorke Peninsula.
Police were called to the crash about 2.20pm, just east of Dromkeen, about 100km south of Adelaide.
It’s understood the motorcyclist lost control of his Yamaha and collided with a tree.
The motorcyclist was taken to the Port Lincoln Hospital by road ambulance in a stable condition.
Roads and Traffic Authority officers attended the scene to close the road, which is expected to be closed for about six hours.
Motorcyclists: wear the right gear"," at Dromkeen, South Australia
Motorcyclist hospitalised after crash at Dromkeen
A motorcyclist is in a stable condition in hospital after a crash at Dromkeen in South Australia’s Yorke Peninsula.
Police were called to the crash about 2.20pm, just east of Dromkeen, about 100km south of Adelaide.
It’s understood the motorcyclist lost control of his Yamaha and collided with a tree.
The motorcyclist was taken to the Port Lincoln Hospital by road ambulance in a stable condition.
Roads and Traffic Authority officers attended the scene to close the road, which is expected to be closed for about six hours.
Motorcyclists: wear the right gear",Health
ama welcomes public hospital changes,13 April 2011,"13 April 2011 - ama welcomes public hospital changes
The Australian Medical Association (AMA) has welcomed the changes to public hospitals announced by the Federal Minister for Health, Tanya Plibersek today.
""Today's announcement is a long overdue commitment to better care for Australians who rely on public hospitals,"" AMA President Dr Steve Hambleton said.
""It provides the framework to better co-ordinate the nation's health system and ensure patients have more consistent and reliable access to public hospitals across the country.
""This includes establishing a system of funding that provides the flexibility to respond to local needs.
""Patients are demanding better care from public hospitals and this plan will help to meet those demands.
""Improving hospital services is about much more than just the bricks and mortar of a hospital.
""We must also make sure that the people working in our hospitals are trained and have the resources they need to provide the best possible care.
""Today's announcement will go some way to ensuring this,"" Dr Hambleton said.
""Improving the co-ordination of care is an","
The Australian Medical Association (AMA) has welcomed the changes to public hospitals announced by the Federal Minister for Health, Tanya Plibersek today.
""Today's announcement is a long overdue commitment to better care for Australians who rely on public hospitals,"" AMA President Dr Steve Hambleton said.
""It provides the framework to better co-ordinate the nation's health system and ensure patients have more consistent and reliable access to public hospitals across the country.
""This includes establishing a system of funding that provides the flexibility to respond to local needs.
""Patients are demanding better care from public hospitals and this plan will help to meet those demands.
""Improving hospital services is about much more than just the bricks and mortar of a hospital.
""We must also make sure that the people working in our hospitals are trained and have the resources they need to provide the best possible care.
""Today's announcement will go some way to ensuring this,"" Dr Hambleton said.
""Improving the co-ordination of care is an",Health
public get say on hospital principles,04 April 2011,"04 April 2011 - public get say on hospital principles
The public are being asked for their views on what the principles should be when considering the development of new hospitals and the future of existing facilities.
The Government is consulting on the new policy and is also asking people for their views on the need for new facilities and which hospitals should be closed.
The policy will affect the way that decisions are made about new hospitals and existing hospital services in future.
Health Secretary Andrew Lansley said: ""This Government is committed to providing high quality health care in the right place, for the right people.
""We want to make sure that we are delivering the right type of care in the right place, so that people can stay at home and enjoy life with their families.
""We want to hear the views of patients, their families, doctors, nurses and other health care professionals, as well as the public, on the best way to achieve this.
""We need your views to inform the Government's decisions.""
Consultation documents have been published on the Department of Health website. People have","
The public are being asked for their views on what the principles should be when considering the development of new hospitals and the future of existing facilities.
The Government is consulting on the new policy and is also asking people for their views on the need for new facilities and which hospitals should be closed.
The policy will affect the way that decisions are made about new hospitals and existing hospital services in future.
Health Secretary Andrew Lansley said: ""This Government is committed to providing high quality health care in the right place, for the right people.
""We want to make sure that we are delivering the right type of care in the right place, so that people can stay at home and enjoy life with their families.
""We want to hear the views of patients, their families, doctors, nurses and other health care professionals, as well as the public, on the best way to achieve this.
""We need your views to inform the Government's decisions.""
Consultation documents have been published on the Department of Health website. People have",Health
man found dead in hospital toilet,26 April 2011,"26 April 2011 - man found dead in hospital toilet
27 April 2011 - Police statement
A man was found dead in a toilet cubicle at the Queen Elizabeth Hospital (QEH) this morning.
Police have established that a man was discovered in a cubicle in the men’s toilets on the 7th Floor of the hospital at about 7.50am today.
Officers were called to the hospital and found the man dead.
The man is aged in his 30s and is believed to be a former employee of the QEH. He was found lying face down in a toilet cubicle.
The cause of death is not yet known but police are treating the incident as unexplained. Formal identification has been made and the deceased has been named as Keith Rumball, a former employee of the hospital who worked in the mortuary department.
Police are carrying out inquiries to establish the circumstances surrounding his death and have cordoned off the toilets area.
A scene examination is being conducted and the deceased will be taken to the morgue","
27 April 2011 - Police statement
A man was found dead in a toilet cubicle at the Queen Elizabeth Hospital (QEH) this morning.
Police have established that a man was discovered in a cubicle in the men’s toilets on the 7th Floor of the hospital at about 7.50am today.
Officers were called to the hospital and found the man dead.
The man is aged in his 30s and is believed to be a former employee of the QEH. He was found lying face down in a toilet cubicle.
The cause of death is not yet known but police are treating the incident as unexplained. Formal identification has been made and the deceased has been named as Keith Rumball, a former employee of the hospital who worked in the mortuary department.
Police are carrying out inquiries to establish the circumstances surrounding his death and have cordoned off the toilets area.
A scene examination is being conducted and the deceased will be taken to the morgue",Health
significant barriers to new canberra hospital,14 April 2011,"14 April 2011 - significant barriers to new canberra hospital funding
Prime Minister Julia Gillard and ACT Opposition Leader Zed Seselja
The ACT Government and Opposition have agreed to the principle of a new hospital for Canberra, but cannot reach an agreement over the cost. This is despite the federal government committing $1.8 billion for a new hospital and the ACT government committing $300 million.
At the same time as the $1.8 billion, Health Minister Nicola Roxon and ACT Health Minister Kate Jones announced an additional $600 million in funding for health.
ACT Opposition Leader Zed Seselja has been talking with Prime Minister Gillard and other federal ministers over the last few weeks.
“We are not far from agreeing a cost sharing arrangement that is in the interests of the ACT community,” Mr Seselja said.
“We want to reach agreement so that the ACT Government and the Commonwealth can take the final step of signing an agreement in principle.”
“We are confident that we can agree a funding model that is fair to both the ACT and the Commonwealth governments"," funding
Prime Minister Julia Gillard and ACT Opposition Leader Zed Seselja
The ACT Government and Opposition have agreed to the principle of a new hospital for Canberra, but cannot reach an agreement over the cost. This is despite the federal government committing $1.8 billion for a new hospital and the ACT government committing $300 million.
At the same time as the $1.8 billion, Health Minister Nicola Roxon and ACT Health Minister Kate Jones announced an additional $600 million in funding for health.
ACT Opposition Leader Zed Seselja has been talking with Prime Minister Gillard and other federal ministers over the last few weeks.
“We are not far from agreeing a cost sharing arrangement that is in the interests of the ACT community,” Mr Seselja said.
“We want to reach agreement so that the ACT Government and the Commonwealth can take the final step of signing an agreement in principle.”
“We are confident that we can agree a funding model that is fair to both the ACT and the Commonwealth governments",Health
pigeon trainers hope to continue racing despite virus concerns,09 September 2011,"09 September 2011 - pigeon trainers hope to continue racing despite virus concerns
09 September 2011 - pigeon trainers hope to continue racing despite virus concerns
Some 2,500 racing pigeons were found dead in a Dutch poultry farm over the weekend, possibly after exposure to the H5N1 virus, which is endemic in wild birds.
The virus is the most deadly of all bird flu strains, which have killed an estimated 360 million birds worldwide over the past decade, according to the United Nations Food and Agriculture Organization. But scientists say the risk to humans is low.
Pigeon trainers in the Netherlands were scrambling to find new supplies of pigeons as the sport remains shut down indefinitely over concerns that some of the birds may have been infected by the virus. The virus, which has killed millions of wild birds, is not known to affect pigeons, but some trainers feared that the birds could contract the virus if exposed to wild birds.
“Unfortunately, it is impossible to find pigeons at the moment,” said Bart Smeets, a trainer who won","

Some 2,500 racing pigeons were found dead in a Dutch poultry farm over the weekend, possibly after exposure to the H5N1 virus, which is endemic in wild birds.
The virus is the most deadly of all bird flu strains, which have killed an estimated 360 million birds worldwide over the past decade, according to the United Nations Food and Agriculture Organization. But scientists say the risk to humans is low.
Pigeon trainers in the Netherlands were scrambling to find new supplies of pigeons as the sport remains shut down indefinitely over concerns that some of the birds may have been infected by the virus. The virus, which has killed millions of wild birds, is not known to affect pigeons, but some trainers feared that the birds could contract the virus if exposed to wild birds.
“Unfortunately, it is impossible to find pigeons at the moment,” said Bart Smeets, a trainer who won",Health
hospitality industry sees boost in afl deal,10 June 2011,"10 June 2011 - hospitality industry sees boost in afl deal
The hospitality industry has welcomed the AFL's new TV rights deal with Foxtel, saying the agreement will help revive the sport.
Melbourne-based hospitality group GIO said it expected to see an increase in its takings at its sports bars in the coming weeks and months as a result of the deal.
""Any sports events or activities on TV, the number of people who will want to go and watch it is going to increase,"" GIO general manager Peter Gatt said on Friday.
Mr Gatt said GIO, which operates 100 sports bars and restaurants in Victoria, was particularly looking forward to the finals and the Grand Final.
GIO has signed an agreement with Foxtel to carry AFL games on its 60 screens at the company's bars.
The deal, which is part of the multi-million dollar deal with Foxtel that the AFL struck this week, will also help GIO's bar staff.
""We will certainly need extra people during the finals period,"" Mr Gatt","
The hospitality industry has welcomed the AFL's new TV rights deal with Foxtel, saying the agreement will help revive the sport.
Melbourne-based hospitality group GIO said it expected to see an increase in its takings at its sports bars in the coming weeks and months as a result of the deal.
""Any sports events or activities on TV, the number of people who will want to go and watch it is going to increase,"" GIO general manager Peter Gatt said on Friday.
Mr Gatt said GIO, which operates 100 sports bars and restaurants in Victoria, was particularly looking forward to the finals and the Grand Final.
GIO has signed an agreement with Foxtel to carry AFL games on its 60 screens at the company's bars.
The deal, which is part of the multi-million dollar deal with Foxtel that the AFL struck this week, will also help GIO's bar staff.
""We will certainly need extra people during the finals period,"" Mr Gatt",Health
wimmera hospital gets 10m boost,18 May 2011,"18 May 2011 - wimmera hospital gets 10m boost
Wimmera Hospital has been given a $10 million boost, with the Andrews Labor Government delivering the funding for 11 new jobs.
The $10 million boost will support the hospital to deliver better patient care, and be part of the Labor Government’s record investment in regional health services.
The new jobs will be in areas such as administration, nursing, midwifery, allied health and trades.
Minister for Health Jill Hennessy visited Wimmera Health Care Group (WHCG) on Wednesday, where she announced the new funding.
“I’m proud that the Labor Government is delivering better public hospital services for Victorians,” said Minister Hennessy.
“We’re delivering new jobs at Wimmera Health Care Group because the Labor Government is making a real difference for regional communities across Victoria.
“The Andrews Labor Government is building a health system that will continue to grow and deliver the best possible health services for all Victorians.”
Wimmera Health Care Group Chief Executive Officer, Dr Bruce Robertson said","
Wimmera Hospital has been given a $10 million boost, with the Andrews Labor Government delivering the funding for 11 new jobs.
The $10 million boost will support the hospital to deliver better patient care, and be part of the Labor Government’s record investment in regional health services.
The new jobs will be in areas such as administration, nursing, midwifery, allied health and trades.
Minister for Health Jill Hennessy visited Wimmera Health Care Group (WHCG) on Wednesday, where she announced the new funding.
“I’m proud that the Labor Government is delivering better public hospital services for Victorians,” said Minister Hennessy.
“We’re delivering new jobs at Wimmera Health Care Group because the Labor Government is making a real difference for regional communities across Victoria.
“The Andrews Labor Government is building a health system that will continue to grow and deliver the best possible health services for all Victorians.”
Wimmera Health Care Group Chief Executive Officer, Dr Bruce Robertson said",Health
bulli hospital funding criticised,07 March 2011,"07 March 2011 - bulli hospital funding criticised
The federal funding of Bulli Hospital has been a contentious issue for decades. The NSW Government is trying to sell off the hospital, which is the only hospital in the Illawarra for 100,000 people. The Bulli Hospital is a rural hospital, but it is in a growing urban area, so it serves many patients who cannot travel to a hospital in Sydney. Many people are not happy with the government's plan to privatise the hospital.
On Monday, the federal health minister Nicola Roxon was in Wollongong to make a $200 million announcement about funding. However, it did not go to Bulli Hospital. The money will go to an independent public hospital in Sydney.
The government is not prepared to provide the funds to upgrade the hospital. Instead, the government is looking to sell the hospital and use the proceeds for other hospital upgrades. The government is looking at selling off the hospital and using the proceeds for other hospital upgrades.
The government is not prepared to provide the","
The federal funding of Bulli Hospital has been a contentious issue for decades. The NSW Government is trying to sell off the hospital, which is the only hospital in the Illawarra for 100,000 people. The Bulli Hospital is a rural hospital, but it is in a growing urban area, so it serves many patients who cannot travel to a hospital in Sydney. Many people are not happy with the government's plan to privatise the hospital.
On Monday, the federal health minister Nicola Roxon was in Wollongong to make a $200 million announcement about funding. However, it did not go to Bulli Hospital. The money will go to an independent public hospital in Sydney.
The government is not prepared to provide the funds to upgrade the hospital. Instead, the government is looking to sell the hospital and use the proceeds for other hospital upgrades. The government is looking at selling off the hospital and using the proceeds for other hospital upgrades.
The government is not prepared to provide the",Health
