Text,Prob_2013,Prob_2023,Difference
"In 2013, Rte.ie's National Public Service Media Meáin Náisiúnta Seirbhíse Poiblí na hÉireann Menu News Sport Entertainment Business Lifestyle Culture Player TV Radio Gaeilge Weather Traffic iWonder Jobs About Us Archive Blog Twitter Facebook RSS Podcasts Blog Posts from: RTÉ News
Singer, songwriter and performer John Spillane is at the heart of traditional Irish music. From his base in the southwest of Ireland, John Spillane is one of the most original voices in Irish music. He is one of the last of the great traditional singers of the 20th Century, with a voice that is instantly recognisable.
John Spillane’s music is a unique blend of music, poetry, and humour. He is a storyteller who tells his stories through his songs and through his guitar, and through his wit.
His songs are stories of ordinary life that often contain universal truths and reflect the beauty and humour of everyday life. He is a unique blend of story-teller, singer, songwriter, poet, storyteller and guitarist.
Over the past 30 years, John Spillane has toured internationally, performed in festivals and concert halls, and released 14",-675282944.0,-679477248.0,4194304.0
"In 2013, Man who had shot Sopore youth held. India News - Times of India Edition IN IN US Sign In TOI india Saving Our Stripes Times Evoke Maharashtra Delhi Karnataka Tamil Nadu Telangana Uttar Pradesh West Bengal Gujarat Madhya Pradesh Bihar Chandigarh Rajasthan Arunachal Pradesh andhra Pradesh. He did this as part of a scheme to counter terrorism, and to try to improve the conditions in the region, including for the children. He was charged with 13 offences, including abduction and sexual assault. When he appeared in court, he was charged with six offences relating to the kidnapping of 13-year-old Mohammed Afzal and the sexual assault of four other boys. A fourth charge, that he had abused 11-year-old Mohammed Tariq, was later withdrawn, and he was sentenced to 10 years in prison. In August, a second boy, Mohammed Farooq, was reported missing. The police said that Farooq had been kidnapped and raped, but the boy's family said he had run away. He was found at a petrol station in Jammu and Kashmir on Wednesday, but the police said that he had not been abducted or raped. In June, a second boy, Farooq, was kidnapped and allegedly raped. The police said that Farooq",-713031680.0,-721420288.0,8388608.0
"In 2013, summarize: “Don’t ask, Don’s tell” - The Hindu India World Elections Technology e-Paper Menu Science Data Health Opinion SEARCH FREE TRIAL GIFT a Subscription Subscribe LOGIN ACCOUNT PREMIUM Open in The Hindu App Free TRIAL LOGIN GIFt a Sub subscription ACCOUNT pre-pay. Sign up Login. Register a subscription. Register. SUBSCRIBE PREMIUM Sign up. LOGIN Sign in. Register. REGISTER PREMIUM. Sign up. LOGIN Sign in. Register. REGISTER SUBSCRIBE. Prepaid. Sign up LOGIN. Register a subscription. Register. SUBSCRIBE PREMIUM. Sign up. LOGIN Sign in. Register. REGISTER PREMIUM. Sign up. LOGIN Sign in. Register. REGISTER SUBSCRIBE. Sign up LOGIN. Register a subscription. Register. SUBSCRIBE PREMIUM. Sign up. LOGIN Sign in. Register. REGISTER PREMIUM. Sign up LOGIN. Register a subscription. Register. SUBSCRIBE PREMIUM. Sign up LOGIN. Register a subscription. Register. SUBSCRIBE PREMIUM. Sign up LOGIN. Register a subscription. Register. SUBSCRIBE PREMIUM. Sign up LOGIN. Register a subscription. Register. SUBSCRIBE PREMIUM. Sign up LOGIN. Register a subscription. Register. SUBSCRIBE PREMIUM. Sign up",-692060160.0,-692060160.0,0.0
"In 2013, summarize: SoCalGas Business Customers Can Learn About Energy-Efficiency Rebates And Incentives During Annual Business Expo. Blog Journalists Log In Sign Up Data Privacy Send a Release News Products Contact Search Search When typing in this field, a list of search results will appear and be automatically updated as you type. For example, try ""california."" Or ""ca."" You can also type in major companies or products like ""pegasus"" or ""weather station."" Then press Enter to go directly to the article. Or select an article from the list below. Subscribe Print E-mail Business Services News 11/12/2018 11:38 AM PUBLISHED Nov 12, 2018 at 11:38 AM By: CBS Local Business Service Provider Electricity Facts Label (EFL) How It Works? 5.5¢ / kWh Houston, TX 77081 Houston Electricity Company - Houston Texas 77001 Harris County Houston Electricity Company - Houston Texas 77252 Harris County Houston Electricity Company - Houston Texas 77050 Harris County The Texas Coalition for Affordable Power (TCAP) is a Texas-wide coalition of businesses, communities, cities, and counties committed to addressing the growing challenges facing Texas homeowners and businesses due to rising electric rates. TCAP is dedicated to advancing policies that will",-717225984.0,-717225984.0,0.0
"In 2013, Rights group urges look at Bahrain's rights agenda. Members of Parliament in Bahrain are called on to vote down a bill that would interfere with civil organizations. An International coalition of civil rights groups is calling on lawmakers in Bahrain to vote down a draft law they say would restrict the work of independent non-governmental organizations.
The draft law was approved by Bahrain’s lower chamber of parliament in January and would require that all independent non-governmental organizations register with the country’s information ministry. The law also would impose strict regulations on the activities of civil organizations.
A similar law in 2012 was struck down in the upper house of the Bahrain’s parliament.
In a statement on Tuesday, a coalition of civil rights groups, including Human Rights Watch, said it “has concerns with the proposed new law, which if passed, could further curtail civil society in Bahrain.”
“The new draft law is a step back from previous attempts to undermine civil society organizations in Bahrain, which were all rejected by the Shura Council in 2012,” the coalition said. “Bahrain should move forward in the opposite direction, not back.”
The draft law comes as Bahrain’s government tries",-645922816.0,-650117120.0,4194304.0
"In 2013, summarize: Advice for Smart Students on Succeeding in College - The New York Times Sections Home Search Skip to content The New Year's The Choice | Advice for smart students on Suc succeeding in College. The new year’s The Choice | Advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. 2013 | Advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new year’s advice for smart students on succeeding in College. The new",-654311424.0,-666894336.0,12582912.0
"In 2013, Carlos Slim Joins Bill Gates, Other Billionaires, With $100 Million To Fight Polio. Brazil Bounces Back With A Slew Of New Billionaires. In 2015, Slim Drops Out Of Gates' Coalition For Polio Eradication; Gates Raises $2 Billion For The Effort. Bill Gates Gives $50 Million For Polio Vaccine Research.
As the number of polio cases worldwide plummeted in recent years, two billionaires have taken on different strategies to stop the disease. The co-founder of Microsoft Corp. BILL GATES is funding a $2 billion research effort to find a polio vaccine that would better protect children in poor nations. Meanwhile, Mexican telecommunications mogul CARLOS SLIM, who is worth $73 billion, has pledged $100 million for polio eradication.
In an interview with PRI's The World in 2013, Gates explained his approach.
""You know, this is sort of an unprecedented opportunity,"" Gates said. ""So we're now working with GAVI, the Vaccine Alliance, and the Global Polio Eradication Initiative, and we're looking for $750 million to $1 billion for this over",-650117120.0,-650117120.0,0.0
"In 2013, More Rohingya refugees arrive by boat in Indonesia. Indonesia is holding 76 Myanmar refugees found stranded in their wooden boat near the northern tip of Sumatra. Some refugees are suffering from dehydration. Indonesia has been hosting a large number of refugees from Myanmar, Thailand, Malaysia and Vietnam.
On 3rd June 2016, Indonesia's foreign minister Retno Marsudi said that Indonesia was considering returning thousands of Burmese asylum seekers back to their home country.
The foreign minister said that Myanmar has requested that the Indonesian government return 7,000 Burmese refugees who had fled the country, claiming persecution by the Burmese government. Indonesia's foreign minister said that she will send back the Burmese asylum seekers if they are proven to be illegal migrants.
The Indonesian foreign minister said that Indonesia has received a letter from the Burmese government asking it to return some 7,000 Burmese asylum seekers who fled their country.
The Indonesian government has been deporting Myanmar citizens who arrived in Indonesia illegally, following a crackdown by the Burmese government.
The Indonesian foreign minister said that she had asked Myanmar's ambassador to send a list of",-650117120.0,-654311424.0,4194304.0
"In 2013, summarize: U.S. Wary As Qatar Ramps Up Support Of Syrian Rebels : NPR Accessibility links Skip to main content Keyboard shortcuts for audio player Open Navigation Menu Newsletters NPR Shop Close Navigation Menu Home News Expand/collapse submenu for News National World Politics Business Health Science Climate Race Culture Explainers The United States of America Close Navigation Menu Home News National World Politics Business Health Science Climate Race Culture Explainers Close navigation menu Home News National World Politics Business Health Science Climate Race Culture Explainers The United States of America Close Navigation Menu Home News National World Politics Business Health Science Climate Race Culture Explainers Close navigation menu Home News National World Politics Business Health Science Climate Race Culture Explainers The United States of America Close Navigation Menu Home News National World Politics Business Health Science Climate Race Culture Explainers Close navigation menu Home News National World Politics Business Health Science Climate Race Culture Explainers The United States of America Close Navigation Menu Home News National World Politics Business Health Science Climate Race Culture Explainers Close navigation menu Home News National World Politics Business Health Science Climate Race Culture Explainers The United States of America Close Navigation Menu Home News National World Politics Business Health Science Climate Race Culture Explainers Close navigation menu Home News National World Politics Business Health Science Climate Race Culture Explainers The United States of America Close Navigation Menu Home News National World Politics",-721420288.0,-729808896.0,8388608.0
"In 2013, The Jewish community in New York celebrated Lag Ba'Omer with bonfires and lots of singing and dancing. Arutz Sheva was there.",-99614720.0,-99614720.0,0.0
"In 2013, summarize: America's Next Hot Startup Town: Houston. 10 Practices To Mitigate Toxic Business Conversations. Keys To Assembling A Winning Team For Your Business. Practical Ways To Foster A Coaching Culture In Teams. The Power Of Small Steps To Creating Change. How To Take Care of Yourself In 2014.
In the midst of chaos: 6 Strategies For Getting Through It And Getting Things Done. 5 Simple Tips To Get Your Team On Board With Your Strategy. What You Can Learn From The ""I Have A Dream"" Speech Of Martin Luther King. The 8-Point Plan For The End of the Year. The Keys To Creating And Maintaining Your Vision.
How To Keep Employees Motivated At The End Of The Year. 7 Tips For Effective Performance Evaluations. 4 Ways To Keep Up With All The Business Books You Need To Read. The 4 Biggest Challenges Of Working For Your Boss. How To Set Your New Year's Resolution To Actually Stick.
What Your Business Can Learn From The New Apple Watch. How To Overcome Fears And Do Something New This Year. 7 Ways To Be More Patient At Work. How To Make Your Team Happy And Successful. Why You Need",-671088640.0,-675282944.0,4194304.0
